epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10101.6,1.55648,0.72473,1.12381,0.91136,0.83786,0.90088,0.5483,1.40778,0.66081,1.11142,0.005842,0.005842,0.005842
44,10306.2,1.55464,0.72272,1.11922,0.90542,0.84923,0.90869,0.55579,1.38691,0.65173,1.10336,0.005743,0.005743,0.005743
45,10505,1.54717,0.71504,1.11935,0.91965,0.83537,0.90719,0.55393,1.39081,0.65434,1.10406,0.005644,0.005644,0.005644
46,10704.9,1.55168,0.71818,1.11507,0.90713,0.84809,0.90712,0.55464,1.38805,0.65431,1.10166,0.005545,0.005545,0.005545
47,10911,1.54213,0.71019,1.11064,0.91429,0.84166,0.90729,0.55648,1.39328,0.64929,1.09955,0.005446,0.005446,0.005446
48,11111.2,1.55118,0.7146,1.11392,0.91759,0.84559,0.90934,0.55651,1.38354,0.65158,1.09852,0.005347,0.005347,0.005347
49,11309.8,1.54213,0.7063,1.11624,0.90643,0.85113,0.91091,0.55884,1.3732,0.64332,1.09172,0.005248,0.005248,0.005248
50,11511.2,1.53413,0.70462,1.1171,0.89658,0.8497,0.91128,0.56007,1.38581,0.64212,1.0972,0.005149,0.005149,0.005149
51,11710,1.5338,0.70626,1.11214,0.9119,0.8554,0.91248,0.56182,1.38098,0.64027,1.09487,0.00505,0.00505,0.00505
52,11909.1,1.54864,0.70577,1.10429,0.91327,0.85219,0.91054,0.56314,1.37413,0.63811,1.0928,0.004951,0.004951,0.004951
53,12112.9,1.53326,0.6986,1.10686,0.91388,0.84844,0.91344,0.56327,1.36929,0.64101,1.09232,0.004852,0.004852,0.004852
54,12310.6,1.5288,0.6999,1.11307,0.91125,0.85674,0.9116,0.56092,1.37414,0.63953,1.09454,0.004753,0.004753,0.004753
55,12508.6,1.5159,0.6906,1.10878,0.90986,0.85406,0.91253,0.55934,1.39127,0.63128,1.09691,0.004654,0.004654,0.004654
56,12708.8,1.52613,0.69405,1.10717,0.91291,0.84769,0.91085,0.55576,1.39511,0.63583,1.10207,0.004555,0.004555,0.004555
57,12907.9,1.52656,0.6918,1.10378,0.91324,0.85387,0.91403,0.56263,1.37794,0.63256,1.09044,0.004456,0.004456,0.004456
58,13104.8,1.52501,0.69269,1.10267,0.91488,0.85307,0.91437,0.56705,1.35991,0.62869,1.08461,0.004357,0.004357,0.004357
59,13305.6,1.52605,0.69076,1.10142,0.92321,0.84347,0.91373,0.56374,1.37643,0.62589,1.09149,0.004258,0.004258,0.004258
60,13505,1.52949,0.68857,1.10064,0.91191,0.85611,0.91547,0.56689,1.36701,0.62326,1.08419,0.004159,0.004159,0.004159
61,13705.9,1.51911,0.68251,1.09879,0.91307,0.85683,0.91332,0.56413,1.37288,0.62546,1.08507,0.00406,0.00406,0.00406
62,13910.9,1.51251,0.68326,1.1095,0.91377,0.85627,0.91311,0.56503,1.38071,0.62565,1.09102,0.003961,0.003961,0.003961
63,14109.4,1.50111,0.68147,1.10109,0.91444,0.85648,0.91544,0.56712,1.3668,0.62362,1.08452,0.003862,0.003862,0.003862
64,14312.5,1.50652,0.67912,1.1008,0.90716,0.86234,0.9153,0.56789,1.35788,0.61608,1.08303,0.003763,0.003763,0.003763
65,14520,1.50693,0.67607,1.09883,0.91856,0.85354,0.91624,0.57407,1.35296,0.61762,1.0799,0.003664,0.003664,0.003664
66,14718.7,1.50053,0.67317,1.09424,0.92152,0.86167,0.91838,0.56908,1.3683,0.62142,1.08602,0.003565,0.003565,0.003565
67,14916.8,1.5125,0.67966,1.09843,0.92009,0.85766,0.91824,0.57332,1.34886,0.61263,1.08,0.003466,0.003466,0.003466
68,15117.8,1.50076,0.67085,1.089,0.92387,0.85529,0.91744,0.57258,1.3498,0.61329,1.07736,0.003367,0.003367,0.003367
69,15314.7,1.4962,0.66638,1.09025,0.91208,0.86381,0.91715,0.56906,1.36497,0.61644,1.08499,0.003268,0.003268,0.003268
70,15511.6,1.49795,0.67342,1.0982,0.91926,0.86161,0.91697,0.56821,1.36316,0.61172,1.08369,0.003169,0.003169,0.003169
71,15713.3,1.48833,0.6654,1.09025,0.93054,0.85091,0.9179,0.57038,1.35845,0.61021,1.07916,0.00307,0.00307,0.00307
72,15909.9,1.49145,0.66394,1.09498,0.91657,0.8685,0.91902,0.57472,1.34797,0.6099,1.07925,0.002971,0.002971,0.002971
73,16109.2,1.49567,0.66574,1.0946,0.91828,0.85813,0.91962,0.57607,1.34849,0.60794,1.07835,0.002872,0.002872,0.002872
74,16309.2,1.49797,0.66764,1.09329,0.92724,0.85242,0.91785,0.5757,1.35164,0.60525,1.07791,0.002773,0.002773,0.002773
75,16507.9,1.49227,0.66154,1.08603,0.92103,0.86294,0.91906,0.57392,1.35484,0.60793,1.07921,0.002674,0.002674,0.002674
76,16705.2,1.49148,0.66448,1.08915,0.91919,0.85995,0.92085,0.5761,1.35042,0.60667,1.07911,0.002575,0.002575,0.002575
77,16907.1,1.48848,0.67606,1.08643,0.92114,0.86324,0.9184,0.57485,1.35124,0.60681,1.07898,0.002476,0.002476,0.002476
78,17106.5,1.48605,0.65737,1.08828,0.91328,0.86998,0.91966,0.5752,1.35084,0.60346,1.0788,0.002377,0.002377,0.002377
79,17305.7,1.48897,0.65919,1.08588,0.92567,0.85777,0.91783,0.57753,1.34537,0.60362,1.07644,0.002278,0.002278,0.002278
80,17515.9,1.48542,0.65528,1.08291,0.92216,0.8612,0.91962,0.57667,1.35216,0.60622,1.07721,0.002179,0.002179,0.002179
81,17724.6,1.48976,0.6575,1.08743,0.92213,0.86208,0.91986,0.57829,1.34407,0.60043,1.07379,0.00208,0.00208,0.00208
82,17920.7,1.47135,0.65335,1.08175,0.9195,0.86448,0.91902,0.57871,1.34693,0.60205,1.07434,0.001981,0.001981,0.001981
83,18123.6,1.47981,0.65247,1.08331,0.92914,0.8546,0.91836,0.57461,1.35322,0.60494,1.07607,0.001882,0.001882,0.001882
84,18322.6,1.47746,0.6479,1.07748,0.91241,0.87302,0.92023,0.57555,1.35222,0.60389,1.07637,0.001783,0.001783,0.001783
85,18521.3,1.46368,0.64596,1.08182,0.91913,0.862,0.91887,0.57796,1.3431,0.59981,1.07346,0.001684,0.001684,0.001684
86,18723.3,1.46921,0.64355,1.0762,0.92071,0.86387,0.91935,0.57635,1.35021,0.60159,1.07551,0.001585,0.001585,0.001585
87,18922.9,1.47658,0.64739,1.07846,0.91706,0.86892,0.9209,0.57692,1.34997,0.60358,1.07525,0.001486,0.001486,0.001486
88,19122.8,1.46275,0.64384,1.07895,0.92297,0.86704,0.92088,0.57928,1.34596,0.59993,1.07519,0.001387,0.001387,0.001387
89,19326.8,1.46501,0.64621,1.07543,0.92259,0.8661,0.92173,0.58093,1.3414,0.59673,1.07369,0.001288,0.001288,0.001288
90,19514.7,1.46228,0.63841,1.07994,0.92135,0.86955,0.92027,0.57737,1.35185,0.60017,1.07583,0.001189,0.001189,0.001189
91,19704.3,1.45806,0.63607,1.07885,0.92602,0.86835,0.92115,0.57831,1.34799,0.59875,1.07399,0.00109,0.00109,0.00109
92,19896.9,1.45656,0.63666,1.0772,0.92179,0.87051,0.92216,0.58074,1.34098,0.59745,1.07242,0.000991,0.000991,0.000991
93,20095.5,1.461,0.64312,1.07601,0.93103,0.86115,0.92113,0.58009,1.34105,0.5967,1.07383,0.000892,0.000892,0.000892
94,20285.9,1.46214,0.64601,1.07797,0.92586,0.86149,0.92011,0.57907,1.34338,0.59695,1.07473,0.000793,0.000793,0.000793
95,20479.5,1.4485,0.63459,1.07735,0.92349,0.86589,0.91995,0.58049,1.34089,0.59559,1.07336,0.000694,0.000694,0.000694
96,20669.5,1.45235,0.6306,1.07147,0.92389,0.86717,0.92118,0.58217,1.33867,0.59606,1.07153,0.000595,0.000595,0.000595
97,20894,1.44563,0.62794,1.07353,0.92398,0.86765,0.92232,0.58103,1.34119,0.5963,1.07236,0.000496,0.000496,0.000496
98,21171.9,1.45075,0.63093,1.07273,0.92436,0.86934,0.92299,0.58187,1.33931,0.59424,1.07239,0.000397,0.000397,0.000397
99,21429.1,1.45432,0.63043,1.06657,0.92582,0.86844,0.92241,0.58167,1.34039,0.59415,1.07279,0.000298,0.000298,0.000298
100,21691.6,1.45268,0.62781,1.07099,0.92062,0.87142,0.92203,0.58061,1.3407,0.59473,1.07275,0.000199,0.000199,0.000199
